slug,name,category_id,definition,when_to_use,prompt_example,pairs_well_with,works_in,tier,images,status,source,date_added
atmospheric-landscape-painting,Atmospheric Landscape Painting,art-styles-movements,"Landscapes where air is the subject: haze, depth, and weather doing the storytelling.",Use for layered vistas with palpable distance and mood.,"""valley in morning haze, atmospheric landscape painting""",fog;volumetric-light,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
chiptune,Chiptune,art-styles-movements,"8-bit game aesthetics: pixel color palettes, sprite logic, console-era charm.",Use for retro-game scenes and nostalgic pixel compositions.,"""pixel city at night, chiptune aesthetic""",pixel-cutie;y2k,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
watercolor-ornamental,Watercolor Ornamental,art-styles-movements,"Decorative watercolor pattern-work: florals, vines, and scrollwork in soft translucent layers.","Use for elegant borders, stationery, and decorative motifs.","""ornamental watercolor border, wildflowers""",watercolor;botanical-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
trash-polka,Trash Polka,art-styles-movements,German tattoo style colliding photorealism with black-and-red graphic chaos.,Use for edgy graphic portraits and tattoo-design energy.,"""portrait, trash polka style, black and red""",comic-art;grunge,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
faux-naif-art,Faux Naif Art,art-styles-movements,Trained artists painting deliberately childlike; sophistication wearing innocence.,Use for knowing-whimsical scenes with naive charm and sly craft.,"""city street, faux naif painting""",naive;folk-art,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
hyperspace-noir,Hyperspace Noir,art-styles-movements,"Detective-story shadow in deep space: neon-lit starships, trench coats among the stars.",Use for sci-fi mystery scenes with hardboiled mood.,"""detective on a space station, hyperspace noir""",night-luxe;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
abstract-romanticism,Abstract Romanticism,art-styles-movements,Romanticism's awe and emotion expressed through pure shape and color instead of scenery.,Use for emotional abstracts that swell like landscapes without depicting one.,"""abstract romanticism, storm of color and light""",lyrical-abstraction;dreamscape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
toyism,Toyism,art-styles-movements,"Dutch movement of bright, toy-like figurative art made by pseudonymous collective artists.",Use for playful narrative scenes with candy color and cartoon geometry.,"""harbor town, toyism style""",cartoon;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
orphism,Orphism,art-styles-movements,Early abstraction of luminous color circles and prisms; cubism gone chromatic.,Use for radiant geometric abstracts built on color relationships.,"""concentric color circles, orphism""",synchromism;jewel-tones,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
land-art,Land Art,art-styles-movements,"Earth itself as medium: spirals of stone, lines in desert, art at landscape scale.",Use for monumental outdoor interventions and aerial-view earthworks.,"""stone spiral in a salt flat, land art, aerial view""",eco-art;seascape,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
neo-dada,Neo Dada,art-styles-movements,"1950s-60s revival of dada mischief: everyday objects, irony, and anti-art gestures.",Use for conceptual collage and duchampian humor.,"""sculpture of a painted tire, neo dada""",found-object-art;post-modernism,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
vorticism,Vorticism,art-styles-movements,British 1914 movement of sharp angular energy: machine-age dynamism in fractured geometry.,Use for bold angular compositions radiating speed and force.,"""city in motion, vorticism""",hard-edge-painting;abstract-futuristic,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
visual-music,Visual Music,art-styles-movements,Non-representational animation-style imagery that visualizes sound: rhythm as shape and color.,Use for synesthetic abstracts and music-driven visuals.,"""symphony visualized, visual music, flowing forms""",synchromism;algorave,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
tactile-art,Tactile Art,art-styles-movements,"Art made to be touched: raised textures, sensory surfaces, sight optional.",Use for texture-forward compositions begging for fingertips.,"""relief artwork of ocean waves, tactile art""",encaustic-art;weathered,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
luminism,Luminism,art-styles-movements,"1850-70 American style of glassy light and stillness: transparent skies, mirror water, hushed glow.","Use for serene luminous landscapes with polished, brushless calm.","""bay at sunset, luminism painting""",tonalist;golden-hour,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
graffiti-pop-art,Graffiti Pop Art,art-styles-movements,"Lowbrow street-pop blend: playful characters, bold outlines, KAWS-adjacent attitude.",Use for urban-pop characters and gallery-street crossover pieces.,"""character mural, graffiti pop art""",comic-art;neon-glow,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
lyrical-abstraction,Lyrical Abstraction,art-styles-movements,"Gestural non-objective painting focused on color, brushwork, and feeling over structure.",Use for expressive flowing abstracts with painterly freedom.,"""lyrical abstraction, sweeping blues and golds""",abstract-romanticism;watercolor,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
phantastische-kunst,Phantastische Kunst,art-styles-movements,"Early-20th-century German fantastic art: dreamlike, meticulous, quietly unsettling visions.",Use for detailed dream imagery with old-world craft.,"""dream city on a hill, phantastische kunst""",dreamscape;mythological,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
rayograms,Rayograms,art-styles-movements,"Camera-less photography: objects laid on photosensitive paper, captured as ghostly silhouettes.",Use for elegant photogram-style compositions in white on black.,"""botanicals as rayogram, white silhouettes on black""",film-photography;line-drawing,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
memphis-group,Memphis Group,art-styles-movements,"1980s Italian design rebellion: squiggles, clashing pastels, terrazzo, geometry with a sense of humor.",Use for playful retro-design scenes and postmodern pattern joy.,"""living room, memphis group design, 1985""",post-modernism;y2k,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
palimpsest-art,Palimpsest Art,art-styles-movements,Layered surfaces where earlier marks ghost through newer ones: history visible in the overwrite.,"Use for aged, story-laden textures and archaeological depth.","""wall of layered posters and paint, palimpsest art""",graffito;weathered,midjourney;nano-banana-pro;gpt-image-2,free,,published,discord-archive-screenshots,2026-07-08
dolly-in,Dolly In,camera-movements,"The camera physically glides toward the subject on a track. Unlike a zoom, the world shifts around them, pulling the viewer closer emotionally.","Use for slow realizations, rising tension, or drawing attention to a decision on someone's face.","""slow dolly in on her face as she reads the letter""",push-in;rack-focus,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
dolly-out,Dolly Out,camera-movements,"The camera glides away from the subject, revealing context and often leaving them small in their world.","Use for endings, isolation, or the reveal that changes everything.","""dolly out from the empty chair, room grows around it""",wide-shot;static-hold,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
tracking-shot,Tracking Shot,camera-movements,"The camera travels alongside a moving subject, keeping pace like a companion.","Use for walks, chases, and any journey the viewer should take with the character.","""tracking shot following her down the market street""",steadicam;handheld,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
crane-shot,Crane Shot,camera-movements,"The camera sweeps vertically or in an arc from a raised arm, moving between ground level and overhead.","Use for grand reveals, openings, and moments that deserve scale.","""crane shot rising from the crowd to reveal the city""",establishing-shot;aerial-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
handheld,Handheld,camera-movements,"Unstabilized camera with natural shake and drift; human, urgent, imperfect.","Use for documentary realism, panic, or intimacy that polish would flatten.","""handheld camera, kitchen argument, urgent energy""",whip-pan;close-up,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
steadicam,Steadicam,camera-movements,"Stabilized floating movement that follows subjects smoothly through space, no track required.","Use for long following shots through doorways, corridors, and crowds.","""steadicam following him through the backstage corridors""",tracking-shot;long-take,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
whip-pan,Whip Pan,camera-movements,A pan so fast the frame smears; snaps attention from one thing to the next.,"Use for comedy beats, energy spikes, or hiding a cut inside the blur.","""whip pan from her shocked face to the door""",match-cut;handheld,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
dolly-zoom,Dolly Zoom,camera-movements,Dolly and zoom in opposite directions: the subject stays put while the background stretches. Vertigo in a lens.,"Use for dread, revelation, and the ground falling out from under someone.","""dolly zoom on his face as he understands""",push-in;anamorphic,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
orbit,Orbit,camera-movements,"The camera circles the subject, holding them centered while the world wheels behind.","Use for hero moments, product beauty passes, and dizzying emotional peaks.","""slow orbit around the dancers, lights streaking behind""",slow-motion;rim-lighting,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
push-in,Push In,camera-movements,"A gentle forward drift toward the subject, subtler than a full dolly move.",Use to quietly raise intensity inside dialogue or thought.,"""slow push in as she hesitates over the phone""",dolly-in;close-up,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
tilt-up,Tilt Up,camera-movements,"The camera pivots vertically upward, revealing height or hope.","Use for reveals of scale: buildings, giants, skies, futures.","""tilt up from muddy boots to the mountain peak""",low-angle;crane-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
aerial-shot,Aerial Shot,camera-movements,"High drone or helicopter perspective, moving above the world.","Use for geography, spectacle, and god's-eye storytelling.","""aerial shot over the coastline at dawn""",establishing-shot;golden-hour,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
static-hold,Static Hold,camera-movements,The camera does not move at all; the frame is a stage and life happens inside it.,"Use for composed tableaux, comedy timing, and letting performance breathe.","""static hold on the doorway as chaos passes through""",wide-shot;long-take,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
long-take,Long Take,camera-movements,"One unbroken shot that runs far longer than expected; no cuts, no escape.","Use for immersion, tension, or showcasing choreography honestly.","""long take through the kitchen during dinner rush""",steadicam;tracking-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
extreme-wide-shot,Extreme Wide Shot,shot-sizes-angles,The subject is tiny in a vast environment; landscape as the loudest voice.,"Use for openings, isolation, and scale that words can't carry.","""extreme wide shot, lone figure crossing the salt flat""",aerial-shot;atmospheric-haze,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
wide-shot,Wide Shot,shot-sizes-angles,Full body visible with generous surroundings; the scene's geography stays honest.,"Use for establishing action, choreography, and physical comedy.","""wide shot of the family kitchen, everyone in frame""",establishing-shot;static-hold,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
medium-shot,Medium Shot,shot-sizes-angles,Framed roughly waist-up; the conversational workhorse of cinema.,"Use for dialogue, interviews, and balanced everyday coverage.","""medium shot, she leans on the counter, talking""",eye-level;soft-key,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
close-up,Close-Up,shot-sizes-angles,The face fills the frame; every flicker of feeling becomes the story.,"Use for emotional beats, reactions, and decisive moments.","""close-up on his eyes as the verdict is read""",push-in;shallow-depth-of-field,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
extreme-close-up,Extreme Close-Up,shot-sizes-angles,"A single detail fills everything: an eye, a trembling hand, a turning key.",Use for tension details and sensory intimacy.,"""extreme close-up of the match striking""",macro-detail;rack-focus,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
over-the-shoulder,Over-the-Shoulder,shot-sizes-angles,Framed past one character's shoulder onto another; conversation with built-in geography.,Use for dialogue scenes needing connection and spatial clarity.,"""over-the-shoulder shot as she confronts him""",medium-shot;shot-reverse-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
low-angle,Low Angle,shot-sizes-angles,"Camera looks up at the subject, lending power, menace, or myth.",Use to make characters loom and architecture tower.,"""low angle on the CEO stepping from the car""",tilt-up;hard-light,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
high-angle,High Angle,shot-sizes-angles,"Camera looks down, diminishing the subject or mapping the scene.","Use for vulnerability, surveillance moods, or clear spatial layouts.","""high angle on the child lost in the crowd""",aerial-shot;wide-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
dutch-angle,Dutch Angle,shot-sizes-angles,"The horizon tilts off-level; the world is subtly, deliberately wrong.","Use for unease, disorientation, and villain energy.","""dutch angle as the lights flicker in the corridor""",handheld;hard-light,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
pov-shot,POV Shot,shot-sizes-angles,The camera becomes a character's eyes; the audience wears their experience.,"Use for immersion, horror peeks, and first-person storytelling.","""POV shot, hands opening the old journal""",handheld;whip-pan,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
establishing-shot,Establishing Shot,shot-sizes-angles,An opening view that tells the audience where and when they are before anything happens.,Use at scene starts and location changes.,"""establishing shot, rain-soaked neon street, midnight""",extreme-wide-shot;aerial-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
anamorphic,Anamorphic,lenses-optics,"Widescreen lenses with oval bokeh, horizontal flares, and gentle edge stretch; instant cinema.",Use when footage should feel like a theatrical film rather than a video.,"""anamorphic lens, horizontal blue flare across the frame""",lens-flare;shallow-depth-of-field,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
shallow-depth-of-field,Shallow Depth of Field,lenses-optics,"Razor-thin focus: the subject is sharp, the world melts into blur.",Use for portrait intimacy and isolating subjects from busy backgrounds.,"""shallow depth of field, her face sharp, cafe dissolved behind""",close-up;bokeh,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
deep-focus,Deep Focus,lenses-optics,Everything from foreground to horizon stays sharp; layers of story in one frame.,Use for staging action in depth and letting viewers choose where to look.,"""deep focus, argument in front, children playing far behind""",wide-shot;static-hold,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
rack-focus,Rack Focus,lenses-optics,"Focus glides from one subject to another mid-shot, steering attention like a hand on the chin.",Use to connect two story elements without cutting.,"""rack focus from the wilting rose to her face""",shallow-depth-of-field;push-in,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
wide-angle-lens,Wide Angle Lens,lenses-optics,"Short focal length exaggerates depth and space; rooms stretch, faces distort up close.","Use for dynamic environments, cramped tension, or comedic distortion.","""wide angle lens, tiny apartment feels like a canyon""",low-angle;deep-focus,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
telephoto-compression,Telephoto Compression,lenses-optics,Long lenses stack distance flat: backgrounds loom huge and close behind subjects.,"Use for surveillance moods, crowds pressed together, and mountains crowding a village.","""telephoto compression, commuters stacked in golden light""",haze;tracking-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
lens-flare,Lens Flare,lenses-optics,"Light strikes the lens directly, blooming into streaks and ghosts.","Use for sun-kissed warmth, sci-fi shine, or dreamy interruptions.","""backlit runner, warm lens flare crossing frame""",golden-hour;anamorphic,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
bokeh,Bokeh,lenses-optics,Out-of-focus highlights rendered as soft glowing discs; blur as decoration.,Use for romantic night scenes and gentle backgrounds full of city lights.,"""night portrait, street lamps as soft bokeh""",shallow-depth-of-field;neon-glow,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
rim-lighting,Rim Lighting,cinematic-lighting,"Light from behind traces a bright edge around the subject, carving them from the dark.",Use for silhouettes with definition and heroic or mysterious outlines.,"""boxer in the dark, rim lighting on his shoulders""",low-key-lighting;silhouette,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
low-key-lighting,Low-Key Lighting,cinematic-lighting,"Mostly shadow, sparse light, high contrast; noir's native language.","Use for mystery, dread, and moral ambiguity.","""interrogation room, low-key lighting, single lamp""",hard-light;dutch-angle,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
high-key-lighting,High-Key Lighting,cinematic-lighting,"Bright, even, nearly shadowless illumination; open and optimistic.","Use for comedy, commercials, and worlds without secrets.","""morning kitchen scene, high-key lighting""",soft-key;medium-shot,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
practical-lighting,Practical Lighting,cinematic-lighting,"Scenes lit by sources visible in frame: lamps, neon signs, candles, screens.",Use for naturalistic night interiors and cozy realism.,"""bar scene lit only by practicals, neon and lamps""",neon-glow;candlelight,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
motivated-lighting,Motivated Lighting,cinematic-lighting,"Cinematic light that pretends to come from the scene's own sources, enhanced invisibly.",Use for polished realism where the lighting has an alibi.,"""moonlight through blinds, motivated lighting""",practical-lighting;volumetric-light,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
hard-light,Hard Light,cinematic-lighting,"Small, direct sources casting crisp shadows and sharp texture; unforgiving and graphic.","Use for noir edges, desert sun, and faces with history.","""hard light across his face, blinds striping shadow""",low-key-lighting;dutch-angle,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
soft-key,Soft Key,cinematic-lighting,Large diffused main light wrapping gently around faces; flattering and calm.,"Use for beauty work, interviews, and trustworthy warmth.","""soft key portrait, window light, gentle falloff""",high-key-lighting;close-up,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
silhouette,Silhouette,cinematic-lighting,The subject reads as pure shape against a brighter background; identity through outline.,"Use for mystery reveals, romantic dusk figures, and iconic frames.","""silhouette in the doorway, hallway blazing behind""",rim-lighting;golden-hour,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
match-cut,Match Cut,transitions-editing,"Two shots joined by matching shape, motion, or idea; the edit itself tells a story.",Use for elegant time jumps and thematic rhymes between scenes.,"""match cut from spinning coin to spinning ferris wheel""",whip-pan;j-cut,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
smash-cut,Smash Cut,transitions-editing,"An abrupt jarring cut between extremes: loud to silent, calm to chaos.","Use for shock, comedy, and waking from dreams badly.","""smash cut from the scream to the quiet breakfast table""",hard-light;static-hold,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
cross-dissolve,Cross Dissolve,transitions-editing,One image melts into the next; time passing with a soft edge.,Use for gentle time transitions and memory sequences.,"""cross dissolve from her young face to the old photograph""",slow-motion;tonalist,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
j-cut,J-Cut,transitions-editing,The next scene's sound arrives before its picture; audio leads the way in.,Use for smooth scene flow and anticipation.,"""J-cut: the crowd noise rises before we see the stadium""",match-cut;l-cut,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
l-cut,L-Cut,transitions-editing,The previous scene's audio lingers over the new image; sound refuses to leave.,Use for reactions carrying into consequences and conversational flow.,"""L-cut: her words continue over his face at the window""",j-cut;close-up,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
slow-motion,Slow Motion,transitions-editing,"Time stretched: motion rendered at high frame rate and played back slow, every detail savored.","Use for impact moments, beauty passes, and emotional peaks.","""slow motion, confetti falling around the champion""",orbit;volumetric-light,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
speed-ramp,Speed Ramp,transitions-editing,Footage accelerates or brakes mid-shot: real time snapping into slow motion and back.,Use for action emphasis and stylish energy shifts.,"""speed ramp as the skater launches off the rail""",slow-motion;whip-pan,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
bleach-bypass,Bleach Bypass,film-looks-grades,"Desaturated, high-contrast silvery look from skipping the bleach step; war-film grit.","Use for harsh memories, conflict, and drained worlds.","""trench sequence, bleach bypass grade""",hard-light;handheld,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
day-for-night,Day for Night,film-looks-grades,"Daylight footage graded into moonlight: cool, dim, and slightly unreal.",Use for stylized night scenes with dreamlike readability.,"""day for night grade, silver-blue orchard""",silhouette;fog,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
golden-hour-grade,Golden Hour Grade,film-looks-grades,"Warm amber light of the sun's first and last hour, honeyed and forgiving.","Use for romance, nostalgia, and endings that feel earned.","""golden hour grade, field at last light""",lens-flare;rim-lighting,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
16mm-film-look,16mm Film Look,film-looks-grades,"Grainy, slightly soft small-gauge film texture; indie warmth and imperfection.","Use for memory sequences, music videos, and handmade honesty.","""16mm film look, summer lake, grain and halation""",analog;handheld,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
technicolor,Technicolor,film-looks-grades,"Vintage three-strip saturation: reds that sing, greens that glow, Hollywood's candy era.","Use for retro musicals, dream sequences, and joyful artifice.","""1950s kitchen, technicolor grade""",high-key-lighting;jewel-tones,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
noir-grade,Noir Grade,film-looks-grades,"Deep blacks, silver highlights, venetian-blind shadows; crime cinema's monochrome soul.","Use for detective stories and moral shadow, color optional.","""office at night, noir grade, blinds shadow""",low-key-lighting;hard-light,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
neon-noir,Neon Noir,film-looks-grades,Noir updated in saturated neon: wet streets reflecting pink and cyan signage.,Use for modern night-city stories with electric melancholy.,"""rain-slick alley, neon noir grade""",neon-glow;practical-lighting,seedance;kling;veo;runway,free,,published,cinematography-seed,2026-07-08
